year,month,sex,age,race
2012,1,M,34,Asian/Pacific Islander
2012,1,F,21,White
2012,1,M,60,White
2012,2,M,64,White
2012,2,M,31,White
2012,2,M,17,Native American/Native Alaskan
2012,2,M,48,White
2012,3,M,41,Native American/Native Alaskan
2012,2,M,50,White
2012,2,M,NA,Black
2012,2,M,30,White
2012,1,M,21,Native American/Native Alaskan
2012,3,M,43,White
2012,3,M,34,Native American/Native Alaskan
2012,3,M,27,White
2012,3,M,27,Native American/Native Alaskan
2012,3,M,55,White
2012,3,M,53,Native American/Native Alaskan
2012,3,M,31,Asian/Pacific Islander
2012,4,M,51,White
2012,4,M,65,Native American/Native Alaskan
2012,4,F,52,White
2012,4,F,47,Black
2012,4,M,19,White
2012,4,M,51,White
2012,4,M,41,White
2012,4,M,22,Native American/Native Alaskan
2012,4,M,21,White
2012,4,M,56,White
2012,4,M,43,White
2012,4,M,38,Native American/Native Alaskan
2012,4,M,55,White
2012,4,M,22,Native American/Native Alaskan
2012,5,M,27,White
2012,4,F,25,White
2012,4,M,26,White
2012,5,M,23,Native American/Native Alaskan
2012,5,M,48,Native American/Native Alaskan
2012,5,M,43,White
2012,5,M,53,White
2012,5,M,31,Native American/Native Alaskan
2012,6,M,26,Asian/Pacific Islander
2012,6,M,87,White
2012,6,M,38,Native American/Native Alaskan
2012,6,M,17,Native American/Native Alaskan
2012,6,M,28,White
2012,6,M,39,White
2012,7,M,59,White
2012,6,M,28,Native American/Native Alaskan
2012,6,M,38,Asian/Pacific Islander
2012,7,M,59,White
2012,7,M,26,White
2012,6,M,50,Native American/Native Alaskan
2012,6,F,26,Native American/Native Alaskan
2012,7,M,21,White
2012,7,M,61,White
2012,7,M,12,Black
2012,7,M,40,White
2012,7,M,57,White
2012,7,M,19,Black
2012,7,M,22,White
2012,8,M,28,White
2012,8,M,20,White
2012,7,F,50,White
2012,7,M,25,White
2012,8,M,34,White
2012,8,F,23,Native American/Native Alaskan
2012,8,M,34,White
2012,8,M,60,White
2012,8,M,26,Native American/Native Alaskan
2012,8,F,62,White
2012,8,M,71,White
2012,8,F,44,White
2012,9,M,26,White
2012,9,M,39,White
2012,9,M,26,Native American/Native Alaskan
2012,9,M,57,White
2012,9,M,29,Asian/Pacific Islander
2012,9,M,24,White
2012,9,F,30,White
2012,9,F,50,Native American/Native Alaskan
2012,9,M,61,White
2012,10,F,44,White
2012,9,M,34,White
2012,9,M,28,White
2012,9,M,9,Native American/Native Alaskan
2012,9,M,77,White
2012,9,M,17,White
2012,10,M,25,Black
2012,10,M,22,Native American/Native Alaskan
2012,9,F,22,White
2012,10,M,18,White
2012,10,M,24,Native American/Native Alaskan
2012,9,F,19,Hispanic
2012,10,M,61,White
2012,10,M,71,White
2012,10,M,36,White
2012,10,M,27,White
2012,10,M,49,White
2012,9,M,19,White
2012,11,M,13,Native American/Native Alaskan
2012,10,M,20,White
2012,11,M,30,Hispanic
2012,10,M,61,White
2012,11,F,51,White
2012,11,M,33,Black
2012,11,M,20,White
2012,11,M,50,White
2012,11,F,48,Native American/Native Alaskan
2012,11,M,21,Native American/Native Alaskan
2012,11,M,43,White
2012,12,M,21,White
2012,12,M,51,White
2012,11,M,90,White
2012,12,F,33,Native American/Native Alaskan
2012,12,M,43,Black
2012,11,M,48,White
2012,11,M,24,Native American/Native Alaskan
2012,12,M,63,Asian/Pacific Islander
2012,12,M,46,White
2012,12,M,32,White
2012,12,M,84,White
2012,10,M,68,White
2012,12,M,13,Black
2012,12,F,89,White
2012,12,M,25,White
2012,12,M,28,White
2012,12,M,48,White
2012,12,M,39,Native American/Native Alaskan
2012,12,M,43,White
2012,12,F,31,White
2012,12,M,46,White
2012,12,M,33,White
2012,12,F,31,White
2012,1,F,59,White
2012,1,F,30,White
2012,1,M,58,Black
2012,1,M,78,White
2012,1,M,60,White
2012,1,M,61,White
2012,1,M,55,White
2012,1,M,66,White
2012,1,M,52,White
2012,1,M,63,White
2012,1,M,40,White
2012,1,M,23,Black
2012,1,M,57,White
2012,1,M,81,White
2012,1,M,63,White
2012,1,M,54,White
2012,1,M,46,White
2012,1,M,52,White
2012,1,M,59,White
2012,1,M,31,Black
2012,1,M,64,Black
2012,1,F,36,White
2012,1,M,40,Black
2012,1,M,45,Hispanic
2012,1,M,47,White
2012,1,F,53,White
2012,1,M,55,White
2012,1,M,26,Black
2012,1,M,28,White
2012,1,M,25,White
2012,1,M,68,Black
2012,1,M,49,Black
2012,1,F,48,Black
2012,1,M,68,Black
2012,1,M,45,White
2012,1,M,47,White
2012,1,M,37,Black
2012,2,M,37,White
2012,1,M,62,White
2012,1,M,60,White
2012,1,F,53,White
2012,1,M,36,Black
2012,1,F,41,White
2012,2,M,47,White
2012,1,M,25,White
2012,1,M,30,Black
2012,2,M,43,White
2012,1,M,41,Black
2012,1,M,39,Black
2012,2,M,39,White
2012,1,M,35,Black
2012,2,M,35,Black
2012,2,M,30,White
2012,2,M,22,Black
2012,1,M,23,Black
2012,1,M,19,Black
2012,1,M,33,Black
2012,1,M,23,Hispanic
2012,2,M,49,White
2012,2,M,50,White
2012,2,M,44,Black
2012,2,M,46,White
2012,1,M,46,White
2012,1,M,21,Black
2012,1,M,42,Black
2012,2,M,42,White
2012,1,M,34,Black
2012,1,M,50,White
2012,1,M,25,White
2012,2,M,60,White
2012,2,M,47,Black
2012,2,M,36,Black
