Title,Artist,Nationality,Gender,BeginDate,EndDate,release_year,Department,appt_made_date
Dress MacLeod from Tartan Sets,Sarah Charlesworth,(American),(Female),-1947,-2013,2020),**Prints & Illustrated Books**,2014-12-18T00:00:00
"Duplicate of plate from folio 11 verso (supplementary suite, plate 4) from ARDICIA",Pablo Palazuelo,(Spanish),(Male),-1916,-2007,2021C,**Prints & Illustrated Books**,2014-12-18T00:00:00
Tailpiece (page 55) from SAGESSE,Maurice Denis,(French),(Male),-1870,-1943,2021c,**Prints & Illustrated Books**,2014-12-18T00:00:00
"Headpiece (page 129) from LIVRET DE FOLASTRIES, À JANOT PARISIEN",Aristide Maillol,(French),(Male),-1861,-1944,2021,**Prints & Illustrated Books**,2014-12-18T00:00:00
97 rue du Bac,Eugène Atget,(French),(Male),-1857,-1927,1993S,**Photography**,2014-12-18T00:00:00
Pictorial ornament (folio 11) from WOODCUTS,Antonio Frasconi,(American),(Male),-1919,-2013,2021s,**Prints & Illustrated Books**,2014-12-18T00:00:00
Rue de l'Hôtel-de-Ville,Eugène Atget,(French),(Male),-1857,-1927,2021),**Photography**,2014-12-18T00:00:00
Los Angeles Airport,Garry Winogrand,(American),(Male),-1928,-1984,2019C,**Photography**,2014-12-18T00:00:00
Why Defy from Disasters of Peace,Diane Victor,(South African),(Female),-1964,,2021S,**Prints & Illustrated Books**,2014-12-18T00:00:00
STILL WATER AND FISH,David Brown Milne,(Canadian),(Male),-1882,-1953,2013,**Prints & Illustrated Books**,2014-12-18T00:00:00
In-text plate (folio 11) from LA MÉTROMANIE,Jean Dubuffet,(French),(Male),-1901,-1985,2014s,**Prints & Illustrated Books**,2014-12-18T00:00:00
Black Bathroom,Jim Dine,(American),(Male),-1935,,2013c,**Prints & Illustrated Books**,2014-12-18T00:00:00
In-text plate (page 108) from LYSISTRATA,František Kupka,(Czech),(Male),-1871,-1957,2021,**Prints & Illustrated Books**,2014-12-18T00:00:00
Transcendence. Designs for the Ballet,Franklin Chenault Watkins,(American),(Male),-1894,-1972,2021,**Drawings**,2014-12-18T00:00:00
Untitled,Christopher Wool,(American),(Male),-1955,,2021),**Prints & Illustrated Books**,2014-12-18T00:00:00
Isadora Duncan,Abraham Walkowitz,(American),(Male),-1878,-1965,2021(,**Drawings**,2014-12-18T00:00:00
L'Avenir de la Propriété,Pierre Alechinsky,(Belgian),(Male),-1927,,2021,**Prints & Illustrated Books**,2014-12-18T00:00:00
Arundel Castle from Black Series I,Frank Stella,(American),(Male),-1936,,2021),**Prints & Illustrated Books**,2014-12-18T00:00:00
"Block fragments from the Samuel Freeman House, Los Angeles, CA",Frank Lloyd Wright,(American),(Male),-1867,-1959,2021),**Architecture & Design**,2014-12-18T00:00:00
Plate (folio 35) from ACORDE,Vicente Rojo,(Spanish),(Male),-1932,,2019C,**Prints & Illustrated Books**,2014-12-18T00:00:00
"Wolf House, Gubin, Poland (Third floor plan)",Ludwig Mies van der Rohe,(American),(Male),-1886,-1969,2018,**Architecture & Design**,2014-12-18T00:00:00
"SA. Sovremennaia Arkhitektura (CA. Contemporary Architecture), no. 5",Varvara Stepanova,(Russian),(Female),-1894,-1958,2018),**Prints & Illustrated Books**,2014-12-18T00:00:00
Untitled,Richard Serra,(American),(Male),-1938,,2018C,**Drawings**,2014-12-18T00:00:00
Research on the Origin,Robert Filliou,(French),(Male),-1926,-1987,2021S,**Prints & Illustrated Books**,2014-12-18T00:00:00
Plate (folio 17) from KAFKA,Roger Chancel,(French),(Male),-1898,-1976,2021,**Prints & Illustrated Books**,2014-12-18T00:00:00
Tailpiece (page 35) from SAINTE MONIQUE,Pierre Bonnard,(French),(Male),-1867,-1947,2020,**Prints & Illustrated Books**,2014-12-18T00:00:00
Bowl,Jacqueline Poncelet,(British),(Female),-1947,,2018s,**Architecture & Design**,2014-12-18T00:00:00
Tailpiece (folio 42 verso) from LES AMOURS,Émile Bernard,(French),(Male),-1868,-1941,2021),**Prints & Illustrated Books**,2014-12-18T00:00:00
Tuileries (vase),Eugène Atget,(French),(Male),-1857,-1927,2021S,**Photography**,2014-12-18T00:00:00
Plate 23 (folio 25) from MALELADE,Georg Baselitz,(German),(Male),-1938,,1998(,**Prints & Illustrated Books**,2014-12-18T00:00:00
"Duplicate of plate from folio 104 (supplementary suite, plate 95) from LA VILLE",Frans Masereel,(Belgian),(Male),-1889,-1972,2010,**Prints & Illustrated Books**,2014-12-18T00:00:00
Untitled,Unknown,(),(),,,2013(,**Photography**,2014-12-18T00:00:00
"Plate (folio 28) from Six Geometric Figures and All Their Combinations, Volume I",Sol LeWitt,(American),(Male),-1928,-2007,2013(,**Prints & Illustrated Books**,2014-12-18T00:00:00
