Date_reported,Country,New_cases,New_deaths
04/01/2020,China,1,0
13/01/2020,Thailand,5,0
14/01/2020,Japan,5,0
19/01/2020,Republic of Korea,5,0
20/01/2020,United States of America,5,0
23/01/2020,Singapore,5,0
23/01/2020,Nepal,5,0
24/01/2020,France,7,0
24/01/2020,Viet Nam,6,0
25/01/2020,Malaysia,7,0
25/01/2020,Australia,7,0
26/01/2020,Canada,5,0
27/01/2020,Sri Lanka,5,0
27/01/2020,Cambodia,5,0
28/01/2020,Germany,1,0
29/01/2020,Italy,6,0
29/01/2020,Finland,5,0
29/01/2020,United Arab Emirates,8,0
30/01/2020,India,5,0
30/01/2020,Philippines,5,0
31/01/2020,Sweden,5,0
31/01/2020,Russian Federation,6,0
01/02/2020,The United Kingdom,2,0
02/02/2020,Spain,5,0
04/02/2020,Belgium,1,0
05/02/2020,Other,14,0
14/02/2020,Egypt,5,0
19/02/2020,Iran (Islamic Republic of),6,2
21/02/2020,Israel,5,0
21/02/2020,Lebanon,5,0
24/02/2020,Oman,6,0
24/02/2020,Bahrain,6,0
24/02/2020,Switzerland,5,0
24/02/2020,Iraq,5,0
24/02/2020,Afghanistan,5,0
24/02/2020,Kuwait,9,0
25/02/2020,Algeria,5,0
26/02/2020,Austria,2,0
26/02/2020,Romania,5,0
26/02/2020,Norway,5,0
26/02/2020,North Macedonia,5,0
26/02/2020,Croatia,1,0
26/02/2020,Georgia,5,0
26/02/2020,Pakistan,6,0
26/02/2020,Brazil,5,0
27/02/2020,Denmark,5,0
27/02/2020,Greece,1,0
27/02/2020,Estonia,5,0
28/02/2020,Nigeria,5,0
28/02/2020,Lithuania,5,0
28/02/2020,New Zealand,5,0
28/02/2020,Mexico,6,0
28/02/2020,Netherlands,1,0
28/02/2020,San Marino,5,0
29/02/2020,Ecuador,5,0
29/02/2020,Monaco,5,0
29/02/2020,Qatar,5,0
29/02/2020,Azerbaijan,7,0
29/02/2020,Belarus,6,0
01/03/2020,Armenia,5,0
01/03/2020,Czechia,7,0
01/03/2020,Ireland,1,0
